query,relevant_returned,recall@30,returned_book,relevance
브레히트,4,0.167,브레히트와 현대연극 제 39집 / 한국브레히트학회,1
브레히트,4,0.167,브레히트의 연극이론 / 삐에르 브뤼넬/끌로드 삐슈와/앙드레-미셸 루소,1
브레히트,4,0.167,"청년 브레히트 ""혁명을 꿈꾸다"" / 한국브레히트학회",1
브레히트,4,0.167,A baby just now? / Walter Trobisch,0
브레히트,4,0.167,Abenteuer im Wirklichen oder Die Gegenwart unserer Klassiker / Gert Ueding,0
브레히트,4,0.167,Adalbert Stifter Brigitta / Ulrich Dittman,0
브레히트,4,0.167,Christoph Martin Wieland der Weisheitslehrer / Ludwig Fertig,0
브레히트,4,0.167,Der Ackermann aus Böhmen / Johannes von Tepl,0
브레히트,4,0.167,"Der Erlkönig / Herder, Gryphius",0
브레히트,4,0.167,Der Schimmelreiter / Theodor Storm,0
브레히트,4,0.167,Der Wetterhähne des Glücks. Die Totenklage und ihre Erben von Kärnten bis zum Karst / Josef Winkler,0
브레히트,4,0.167,Deutsch als Fremdsprache / Michaela Hueber,0
브레히트,4,0.167,Die drei Schmiede ihres Schicksals / Adalbert Stifter,0
브레히트,4,0.167,Diebe / Dea Loher ,0
브레히트,4,0.167,Ein Bruderzwist in Habsburg / Franz Grillparzer,0
브레히트,4,0.167,Emilia Galotti / G.E. Lessing,0
브레히트,4,0.167,Emilia Galotti / G. E. Lessing,0
브레히트,4,0.167,Fremdsprachentexte Antigone / Jean Anouilh,0
브레히트,4,0.167,Helmbrecht / Wernher der Gärtner,0
브레히트,4,0.167,"L'Arrabbiata, Das Mädchen von Treppi / Paul Heyse",0
브레히트,4,0.167,Lese- und Bilderbuch der frühen Rheinromantik / Bertil Fuchs,0
브레히트,4,0.167,Literaturkritik und Literarische Wertung / Peter Gebhardt,0
브레히트,4,0.167,Momo / Wolfdietrich Rasch,0
브레히트,4,0.167,Nie mehr zurück in dieses Land / Herausgegeben von Uta Gerhardt und Thomas Karlauf,0
브레히트,4,0.167,RITT AUF DER WILDSAU MANIFEST FÜR DIE MALEREI / RACHEL LUMSDEN,0
브레히트,4,0.167,Soziolinguische Schriften I / Adorno,0
브레히트,4,0.167,Sprechübungen / Irmgard Welthase,0
브레히트,4,0.167,Spätgotik on Tirol / -,0
브레히트,4,0.167,Stifter Vorrede zu Bunte Steine; Kalkstein / Adalbert Stifter,0
브레히트,4,0.167,Sämtliche Werke in zwei Bänden: Band I / Theodor Storm,0
브레히트,4,0.167,Undine- eine Novelle / Fouqué,0
브레히트,4,0.167,독일어권 유학인명록 / 한국독일학회,0
브레히트,4,0.167,회상과 성찰(1d) / 이창복 교수 정년퇴임기념논문 간행위원회 편,0
괴테,16,0.114,괴테 研究 (괴테 연구) / 한국 괴테 협회,1
괴테,16,0.114,괴테 사전 / 한국괴테학회,1
괴테,16,0.114,괴테 시선 2 / 요한 볼프강 폰 괴테,1
괴테,16,0.114,괴테 시선 2 / 요한 볼프강 폰 괴테,1
괴테,16,0.114,괴테 시선 3 / 요한 볼프강 폰 괴테,1
괴테,16,0.114,괴테 시선 Ⅳ - 크세니엔 / 그리멜스하우젠,1
괴테,16,0.114,괴테와 괴테 文學의 意義 (괴테와 괴테 문학의 의의) / 朴賛機 (박찬기),1
괴테,16,0.114,괴테와 독일 고전주의 / 박찬기,1
괴테,16,0.114,괴테와 동양 사상 / 김윤섭,1
괴테,16,0.114,괴테와 융 『파우스트』의 분석심리학적 이해 / 이부영,1
괴테,16,0.114,괴테의 여우 라이네케 / 요한 볼프강 폰 괴테,1
괴테,16,0.114,괴테의 원형 파우스트 & 뷔히너의 보이첵 / 프리드리히 뒤렌마트,1
괴테,16,0.114,괴테의 파우스트와 그 문학 세계 1 / 강두식,1
괴테,16,0.114,나의 인생 「시와 진실」 / 요한 볼프강 폰 괴테,0
괴테,16,0.114,"에커만, 괴테와의 대화 / 지명열",1
괴테,16,0.114,영화로 읽는 독일 및 독일인들1 / 요한 볼프강 괴테,0
괴테,16,0.114,잠언과 성찰 / 요한 볼프강 폰 괴테,0
괴테,16,0.114,젊은 베르테르의 슬픔 / 요한 볼프강 폰 괴테,0
괴테,16,0.114,젊은 베르테르의 슬픔 / 요한 볼프강 폰 괴테,0
괴테,16,0.114,"파우스트 / 요한 볼프강 폰 괴테 저, 이인웅 역",1
괴테,16,0.114,파우스트 研究 (파우스트 연구) / 한국괴테협회,1
괴테,16,0.114,하이너 뮐러 문학의 이해 / 요한 볼프강 폰 괴테 et.al,0
괴테,16,0.114,헤르만과 도로테아 / 요한 볼프강 폰 괴테,0
괴테,16,0.114,1992년도 제1학기 강의시간표 / 한국외국어대학교,0
괴테,16,0.114,2002년도 제1학기 강의시간표 / 한국외국어대학교,0
괴테,16,0.114,2004년도 제2학기 강의시간표 / 한국외국어대학교,0
괴테,16,0.114,2005년도 제2학기 강의시간표 / 한국외국어대학교,0
괴테,16,0.114,"Der Erlkönig / Herder, Gryphius",0
괴테,16,0.114,Der Eunuch / Terenz,0
괴테,16,0.114,Der Schimmelreiter / Theodor Storm,0
괴테,16,0.114,Diebe / Dea Loher ,0
괴테,16,0.114,Fremdsprachentexte Antigone / Jean Anouilh,0
괴테,16,0.114,Grund- und Aufbauwortschatz Englisch / Gernot Häublein und Recs Jenkins,0
괴테,16,0.114,Grund- und Aufbauwortschatz Latein / Eberhard Hermes,0
괴테,16,0.114,Menschen aus dem Norden Menschen aus dem Süden / Ahn Do Hyun,0
괴테,16,0.114,Momo / Wolfdietrich Rasch,0
괴테,16,0.114,Sprechübungen / Irmgard Welthase,0
괴테,16,0.114,Stille in einer lauten Welt / Dieter Mittelsten Scheid,0
괴테,16,0.114,Sämtliche Werke in zwei Bänden: Band I / Theodor Storm,0
괴테,16,0.114,東園 金興培 博士 古稀紀念論文集 (동원 김흥배 박사 고희기념논문집) / 韓國外國語大學校 (한국외국어대학교),0
괴테,16,0.114,海泡 李裕榮 敎授 追慕論文集 : 獨語獨文學論叢 / 海泡 李裕榮 敎授 追慕論文集刊行委員會 編,0
괴테,16,0.114,"獨文活用研究 (독문활용연구) / 金潤涉 (김윤섭), 金光堯 (김광요)",0
괴테,16,0.114,許亨根敎授 華甲記念論叢 / 許亨根敎授華甲記念論叢刊行委員會,0
괴테,16,0.114,대학원 요람 / 한국외국어대학교,0
괴테,16,0.114,독일어권 유학인명록 / 한국독일학회,0
괴테,16,0.114,장면 구성과 인물 창조를 위한 희곡 읽기 / 김승옥 et al.,0
괴테,16,0.114,전후 독일문학그룹 / 이인웅,0
괴테,16,0.114,포스트드라마 비판과 드라마의 귀환 / 한국드라마학회,0
괴테,16,0.114,한국 현대 연출가 연구 1 / 한국연극학회 편,0
괴테,16,0.114,한국말(1) / Suk-in Chang,0
괴테,16,0.114,한국문학통사4 / 조동일,0
괴테,16,0.114,현대독문학의 이해 / 김광규,0
괴테,16,0.114,현대독문학의 이해 / 김광규,0
히틀러,4,0.667,히틀러는 아직도 살아있다 / 황성근,1
히틀러,4,0.667,1992년도 제1학기 강의시간표 / 한국외국어대학교,0
히틀러,4,0.667,Adi: Jugend eines Diktators / Gudrun Pausewang,1
히틀러,4,0.667,Benedikts Kreuzzug / Alan Posener,0
히틀러,4,0.667,Das Nationalsozialistengesetz mit Verbotsgesetz / Dr. Egon Praunegger,0
히틀러,4,0.667,Der Koran und die Juden / Johan Bouman,0
히틀러,4,0.667,Der Steppenwolf / Hermann Hesse,0
히틀러,4,0.667,"Deutsche Flugschriften, Flugblätter, Gegenwartsalltag, Flugblätter der bürgerlichen Nationalgesichter / Adolf Leins/Franz-Martin Schmölz",0
히틀러,4,0.667,Die Weimarer Republik 1918 1933 / Bracher/Funke/Jacobsen (Hrsg.),0
히틀러,4,0.667,Diebe / Dea Loher ,0
히틀러,4,0.667,Faust1 und 2 Wahlverwandtschaften / Goethe,0
히틀러,4,0.667,Grund- und Aufbauwortschatz Latein / Eberhard Hermes,0
히틀러,4,0.667,Heilung - Das Wunder in uns / Clemens Kuby,0
히틀러,4,0.667,Ich was kein Held aber ich hatte Glück / Karl Ziak,0
히틀러,4,0.667,Ihr werdet erfahren dass ich der Herr bin / Walter Trobisch,0
히틀러,4,0.667,Menschen aus dem Norden Menschen aus dem Süden / Ahn Do Hyun,0
히틀러,4,0.667,Zeitung Deutsch / Kwang-Yo Kim / Yoo-Yung Lee,0
히틀러,4,0.667,Übungsbuch für die Deutsche Sprache Ⅱ / 정경석 et al.,0
히틀러,4,0.667,"獨文活用研究 (독문활용연구) / 金潤涉 (김윤섭), 金光堯 (김광요)",0
히틀러,4,0.667,"獨文活用研究 (독문활용연구) / 金潤涉 (김윤섭), 金光堯 (김광요)",0
히틀러,4,0.667,게르만 어문학 제 12집 / 한국외국어대학교 게르만어문학 연구회,0
히틀러,4,0.667,나의 투쟁 상 / 아돌프 히트러,1
히틀러,4,0.667,나의 투쟁 하 / 아돌프 히트러,1
히틀러,4,0.667,독일 연가곡 / 피종호,0
히틀러,4,0.667,독일문학개설 / 오한진,0
히틀러,4,0.667,독일어권 문화 새롭게 읽기 / 김주연 et al.,0
히틀러,4,0.667,독일어권 유학인명록 / 한국독일학회,0
히틀러,4,0.667,전후 독일문학그룹 / 이인웅,0
히틀러,4,0.667,한독 여성문학론 / 김주연 et al.,0
히틀러,4,0.667,현대 독일문학 비평 / 이인웅,0
히틀러,4,0.667,현대독문학의 이해 / 김광규,0
귄터 그라스,0,0.000,1986년도 제1학기 강의시간표 / 한국외국어대학교,0
귄터 그라스,0,0.000,1988년도 제1학기 강의시간표 / 한국외국어대학교,0
귄터 그라스,0,0.000,1992년도 제1학기 강의시간표 / 한국외국어대학교,0
귄터 그라스,0,0.000,1995년도 제1학기 강의시간표 / 한국외국어대학교,0
귄터 그라스,0,0.000,2002년도 제1학기 강의시간표 / 한국외국어대학교,0
귄터 그라스,0,0.000,2004년도 제2학기 강의시간표 / 한국외국어대학교,0
귄터 그라스,0,0.000,2005년도 제2학기 강의시간표 / 한국외국어대학교,0
귄터 그라스,0,0.000,2007년도 제1학기 강의시간표 / 한국외국어대학교,0
귄터 그라스,0,0.000,2010년도 제2학기 강의시간표 / 한국외국어대학교,0
귄터 그라스,0,0.000,"Der Erlkönig / Herder, Gryphius",0
귄터 그라스,0,0.000,Diebe / Dea Loher ,0
귄터 그라스,0,0.000,"Feminismus - Geschichte, Theorie, Praxis / Jutta Menschik",0
귄터 그라스,0,0.000,Grund- und Aufbauwortschatz Latein / Eberhard Hermes,0
귄터 그라스,0,0.000,Humboldt-Kolleg: West-Östlicher Dialog in Wissenschaft und Kultur / Humboldt Club Korea,0
귄터 그라스,0,0.000,Menschen aus dem Norden Menschen aus dem Süden / Ahn Do Hyun,0
귄터 그라스,0,0.000,Sämtliche Werke in zwei Bänden: Band I / Theodor Storm,0
귄터 그라스,0,0.000,東園 金興培 博士 古稀紀念論文集 (동원 김흥배 박사 고희기념논문집) / 韓國外國語大學校 (한국외국어대학교),0
귄터 그라스,0,0.000,海泡 李裕榮 敎授 追慕論文集 : 獨語獨文學論叢 / 海泡 李裕榮 敎授 追慕論文集刊行委員會 編,0
귄터 그라스,0,0.000,"獨文活用研究 (독문활용연구) / 金潤涉 (김윤섭), 金光堯 (김광요)",0
귄터 그라스,0,0.000,"獨文活用研究 (독문활용연구) / 金潤涉 (김윤섭), 金光堯 (김광요)",0
귄터 그라스,0,0.000,許亨根敎授 華甲記念論叢 / 許亨根敎授華甲記念論叢刊行委員會,0
귄터 그라스,0,0.000,대학원 요람 / 한국외국어대학교,0
귄터 그라스,0,0.000,동·서·세계: 문학과 문화의 충돌과 창발 / 한국동서비교문학학회·세계문학비교학회,0
귄터 그라스,0,0.000,전후 독일문학그룹 / 이인웅,0
귄터 그라스,0,0.000,포스트드라마 비판과 드라마의 귀환 / 한국드라마학회,0
귄터 그라스,0,0.000,한국 현대 연출가 연구 1 / 한국연극학회 편,0
귄터 그라스,0,0.000,한국말(1) / Suk-in Chang,0
귄터 그라스,0,0.000,한독 여성문학론 / 김주연 et al.,0
귄터 그라스,0,0.000,현대독문학의 이해 / 김광규,0
귄터 그라스,0,0.000,현대독문학의 이해 / 김광규,0
베를린 장벽,2,0.667,329일 베를린장벽 붕괴에서 독일통일까지 / 호르스트 텔칙,1
베를린 장벽,2,0.667,Berlin 1968 / Heinrich Mann,0
베를린 장벽,2,0.667,Berlin Alexanderplatz / Alfred Döblin,0
베를린 장벽,2,0.667,Berlin Alexanderplatz / Dietrich Fischer-Dieskau,0
베를린 장벽,2,0.667,Das Decameron / Heinrich Böll,0
베를린 장벽,2,0.667,Das Nationalsozialistengesetz mit Verbotsgesetz / Dr. Egon Praunegger,0
베를린 장벽,2,0.667,Der Fall Deutschland / Piper,0
베를린 장벽,2,0.667,Der Karlsplatz in Wien / Geschäftsgruppe Stadtplannung,0
베를린 장벽,2,0.667,Der Untertan. Im Schlaraffenland / Heinrich Mann,0
베를린 장벽,2,0.667,Der deutsche Schelmen-Roman / Jürgen Jacobs,0
베를린 장벽,2,0.667,"Deutsche Flugschriften, Flugblätter, Gegenwartsalltag, Flugblätter der bürgerlichen Nationalgesichter / Adolf Leins/Franz-Martin Schmölz",0
베를린 장벽,2,0.667,Deutschland im 19. Jahrhundert / Manfred Görtemaker,0
베를린 장벽,2,0.667,Deutschland. Ein Märchen / Wolf Biermann,0
베를린 장벽,2,0.667,Deutschlands Wiederkehr - Eine ungeteilte Nachkriegsgeschichte 1945-1990 / Peter Bender,0
베를린 장벽,2,0.667,Die Judenbuche / A. von Droste-Hülshoff,0
베를린 장벽,2,0.667,Die Weimarer Republik 1918 1933 / Bracher/Funke/Jacobsen (Hrsg.),0
베를린 장벽,2,0.667,Ein Bruderzwist in Habsburg / Franz Grillparzer,0
베를린 장벽,2,0.667,Ein Land auf dem rechten Weg? / Günter Scheidl,0
베를린 장벽,2,0.667,Ein Loch in der Mauer / Marion Detjen,1
베를린 장벽,2,0.667,Frau Jenny Treibel / Theodor Fontane,0
베를린 장벽,2,0.667,Herrschafts- und Staatsbildung im Raum der heutigen Landkreise Brückenau und Hammelburg Studien zum Historischen Atlas von Bayern-Teil Franken / .,0
베를린 장벽,2,0.667,"Korea, Germany and the European union / Gerhard Wahlers",0
베를린 장벽,2,0.667,Prinz Friedrich von Homburg / Heinrich von Kleist,0
베를린 장벽,2,0.667,Stätten deutscher Kultur-Inseln in ruhloser Zeit / Adolfine Pertlik-Stegerl,0
베를린 장벽,2,0.667,Tatsachen über Deutschland / Frankfurter Societaetas-Medien GmbH,0
베를린 장벽,2,0.667,Zeichnungen und Entwürfe für Ver Sacrum aus dem Archiv der Wiener Secession / Otmar Rychlik,0
베를린 장벽,2,0.667,ZustellrechtsanpassungsG Europäisches Übereinkommen / Dr. Klaus Berchtold,0
베를린 장벽,2,0.667,Zwischen den Fronten - Erlebte Weltgeschichte / Peter Scholl-Latour,0
베를린 장벽,2,0.667,나의 투쟁 상 / 아돌프 히트러,0
베를린 장벽,2,0.667,도시로 떠난 독일 역사문화산책 / 손선홍,0
헤르만 헤세,7,0.056,"꿈이 내 문을 두드릴 때 / 헤르만 헤세 저, 이인웅 역",1
헤르만 헤세,7,0.056,유리알유희 / 헤르만 헤세,0
헤르만 헤세,7,0.056,"크눌프 , 데미안 / 헤르만 헤세 저, 이인웅 역",1
헤르만 헤세,7,0.056,"헤르만 헤세 - 모든 시작은 신비롭다 / 알로이스 프린츠 저, 이한우 역",1
헤르만 헤세,7,0.056,헤르만 헤세와의 만남 / 황 진,1
헤르만 헤세,7,0.056,헤르만 헤세와의 만남 / 황 진,1
헤르만 헤세,7,0.056,헤르만 헤세의 진실 / 민성길,1
헤르만 헤세,7,0.056,환상동화집 / 헤르만 헤세,1
헤르만 헤세,7,0.056,1986년도 제1학기 강의시간표 / 한국외국어대학교,0
헤르만 헤세,7,0.056,1988년도 제1학기 강의시간표 / 한국외국어대학교,0
헤르만 헤세,7,0.056,1992년도 제1학기 강의시간표 / 한국외국어대학교,0
헤르만 헤세,7,0.056,1995년도 제1학기 강의시간표 / 한국외국어대학교,0
헤르만 헤세,7,0.056,2002년도 제1학기 강의시간표 / 한국외국어대학교,0
헤르만 헤세,7,0.056,2004년도 제2학기 강의시간표 / 한국외국어대학교,0
헤르만 헤세,7,0.056,2005년도 제2학기 강의시간표 / 한국외국어대학교,0
헤르만 헤세,7,0.056,2007년도 제1학기 강의시간표 / 한국외국어대학교,0
헤르만 헤세,7,0.056,2010년도 제2학기 강의시간표 / 한국외국어대학교,0
헤르만 헤세,7,0.056,"Der Erlkönig / Herder, Gryphius",0
헤르만 헤세,7,0.056,Diebe / Dea Loher ,0
헤르만 헤세,7,0.056,Grund- und Aufbauwortschatz Latein / Eberhard Hermes,0
헤르만 헤세,7,0.056,Menschen aus dem Norden Menschen aus dem Süden / Ahn Do Hyun,0
헤르만 헤세,7,0.056,大壑獨逸語(대학독일어) / 김광요,0
헤르만 헤세,7,0.056,東園 金興培 博士 古稀紀念論文集 (동원 김흥배 박사 고희기념논문집) / 韓國外國語大學校 (한국외국어대학교),0
헤르만 헤세,7,0.056,海泡 李裕榮 敎授 追慕論文集 : 獨語獨文學論叢 / 海泡 李裕榮 敎授 追慕論文集刊行委員會 編,0
헤르만 헤세,7,0.056,"獨文活用研究 (독문활용연구) / 金潤涉 (김윤섭), 金光堯 (김광요)",0
헤르만 헤세,7,0.056,"獨文活用研究 (독문활용연구) / 金潤涉 (김윤섭), 金光堯 (김광요)",0
헤르만 헤세,7,0.056,許亨根敎授 華甲記念論叢 / 許亨根敎授華甲記念論叢刊行委員會,0
헤르만 헤세,7,0.056,대학원 요람 / 한국외국어대학교,0
헤르만 헤세,7,0.056,동·서·세계: 문학과 문화의 충돌과 창발 / 한국동서비교문학학회·세계문학비교학회,0
헤르만 헤세,7,0.056,"문학과 신화 / 김병옥, 김영일, 김진국, 최정무",0
헤르만 헤세,7,0.056,번역과 한국의 근대 / 이영남,0
헤르만 헤세,7,0.056,전후 독일문학그룹 / 이인웅,0
헤르만 헤세,7,0.056,포스트드라마 비판과 드라마의 귀환 / 한국드라마학회,0
헤르만 헤세,7,0.056,한국 현대 연출가 연구 1 / 한국연극학회 편,0
헤르만 헤세,7,0.056,한국말(1) / Suk-in Chang,0
헤르만 헤세,7,0.056,한독 여성문학론 / 김주연 et al.,0
헤르만 헤세,7,0.056,현대독문학의 이해 / 김광규,0
헤르만 헤세,7,0.056,현대독문학의 이해 / 김광규,0
독일문화원,0,0.000,2/1998 Schwerpunkt: Deutsch zwischen den Kulturen / Hans-Jürgen Krumm,0
독일문화원,0,0.000,Althochdeutsches Wörterbuch / Rudolf Schützeichel,0
독일문화원,0,0.000,DEUTSCHE AKADEMIE FÜR SPRACHE UND DICHTUNG JAHRBUCH 1969 / Deutsche Akademie für Sprache und Dichtung,0
독일문화원,0,0.000,DEUTSCHE AKADEMIE FÜR SPRACHE UND DICHTUNG JAHRBUCH 1971 / Deutsche Akademie für Sprache und Dichtung,0
독일문화원,0,0.000,DEUTSCHE AKADEMIE FÜR SPRACHE UND DICHTUNG JAHRBUCH 1980 / Deutsche Akademie für Sprache und Dichtung,0
독일문화원,0,0.000,Das Decameron / Heinrich Böll,0
독일문화원,0,0.000,Deutsche Balladen / Winfried Freund,0
독일문화원,0,0.000,"Deutsche Flugschriften, Flugblätter, Gegenwartsalltag, Flugblätter der bürgerlichen Nationalgesichter / Adolf Leins/Franz-Martin Schmölz",0
독일문화원,0,0.000,Deutsche Kurzgeschichten I 9.-10. Schuljahr / Günter Lange,0
독일문화원,0,0.000,Deutsche Kurzgeschichten I 9.-10. Schuljahr / Günter Lange,0
독일문화원,0,0.000,Deutsche Kurzgeschichten II 9.-10. Schuljahr / Günter Lange,0
독일문화원,0,0.000,Deutschland. Ein Märchen / Wolf Biermann,0
독일문화원,0,0.000,Echtermeyer: Deutsche Gedichte / Benno von Wiese,0
독일문화원,0,0.000,Geschichte der deutschen Sprache / Peter von Polenz,0
독일문화원,0,0.000,Gesetz über Gesellschaften mit beschränkter Haftung idF GmbH Nov 1980 / Fritz Schoenherr,0
독일문화원,0,0.000,Herrschafts- und Staatsbildung im Raum der heutigen Landkreise Brückenau und Hammelburg Studien zum Historischen Atlas von Bayern-Teil Franken / .,0
독일문화원,0,0.000,Lexikon deutschsprachiger Schriftsteller / Kurt Böttcher,0
독일문화원,0,0.000,Modernes Deutsches Drama 2 / F.N.Mennemeier,0
독일문화원,0,0.000,Tatsachen über Deutschland / Frankfurter Societaetas-Medien GmbH,0
독일문화원,0,0.000,Tatsachen über Deutschland / Frankfurter Societaetas-Medien GmbH,0
독일문화원,0,0.000,Tatsachen über Deutschland / Frankfurter Societaetas-Medien GmbH,0
독일문화원,0,0.000,독일 교양 소설 연구 / 오한진,0
독일문화원,0,0.000,독일문학개설 / 오한진,0
독일문화원,0,0.000,독일사회소설론 / 이정길교수 추모위원회,0
독일문화원,0,0.000,독일어문학 제 41집 16권 2호 2008 / 한국독일어문학회,0
독일문화원,0,0.000,독일의 현대문학 / -,0
독일문화원,0,0.000,독일통일과 문학 / 김용민,0
독일문화원,0,0.000,외국인을 위한 독일어교본 / 독일어교육연구원,0
독일문화원,0,0.000,통일 독일의 문화와 예술 / Renate Luscher,0
독일문화원,0,0.000,현대 독일문학 비평 / 한국연극학회 편,0
파우스트,9,0.191,괴테와 융 『파우스트』의 분석심리학적 이해 / 이부영,1
파우스트,9,0.191,괴테의 원형 파우스트 & 뷔히너의 보이첵 / 프리드리히 뒤렌마트,1
파우스트,9,0.191,괴테의 파우스트와 그 문학 세계 1 / 강두식,1
파우스트,9,0.191,"파우스트 / 요한 볼프강 폰 괴테 저, 이인웅 역",1
파우스트,9,0.191,파우스트 / 지명렬 역,1
파우스트,9,0.191,파우스트 研究 (파우스트 연구) / 한국괴테협회,1
파우스트,9,0.191,파우스트 그는 누구인가? / 이인웅,1
파우스트,9,0.191,파우스트 하나의 비극 / 최두환,1
파우스트,9,0.191,파우스트와 빌헬름 마이스터 연구 / 박찬기 외,1
파우스트,9,0.191,>>Der Krieg Hat uns Geprägt<< 2 / Margarete Dörr,0
파우스트,9,0.191,Absolutismus / Johannes Künzle,0
파우스트,9,0.191,Adi: Jugend eines Diktators / Gudrun Pausewang,0
파우스트,9,0.191,Amphitryon / Heinrich von Kleist,0
파우스트,9,0.191,Argumente und Parolen Politische Propaganda im 20. Jahrhundert / Wolfgang Günther,0
파우스트,9,0.191,Das Austernfest / Heinrich Mann,0
파우스트,9,0.191,Das Engelsgesicht (Die Geschichte eines Mafia-Killers aus Deutschland) / Andreas Ulrich,0
파우스트,9,0.191,Das Nationalsozialistengesetz mit Verbotsgesetz / Dr. Egon Praunegger,0
파우스트,9,0.191,Der Ackermann aus Böhmen / Johannes von Tepl,0
파우스트,9,0.191,Der Hofmeister / Jakob Michael Reinhold Lenz,0
파우스트,9,0.191,Der Koran und die Juden / Johan Bouman,0
파우스트,9,0.191,Der Untertan. Im Schlaraffenland / Heinrich Mann,0
파우스트,9,0.191,"Deutsche Flugschriften, Flugblätter, Gegenwartsalltag, Flugblätter der bürgerlichen Nationalgesichter / Adolf Leins/Franz-Martin Schmölz",0
파우스트,9,0.191,Die Blechtrommel. Danziger Trilogie 2 / Günter Grass,0
파우스트,9,0.191,Die Weimarer Republik 1918 1933 / Bracher/Funke/Jacobsen (Hrsg.),0
파우스트,9,0.191,"Die österreichische nationalsozialistische Ästhetik / Ilija Dürhammer, Pia Janke",0
파우스트,9,0.191,Georgs Sorgen um die Vergangenheit oder im Reich des heiligen Hodensack-Bimbams von Prag / Jan Faktor,0
파우스트,9,0.191,Ihr kriegt mich nicht klein! / Ulrike Schramm-De Robertis,0
파우스트,9,0.191,Ihr werdet erfahren dass ich der Herr bin / Walter Trobisch,0
파우스트,9,0.191,Lefeu oder der Abbruch Roman-Essay / Jean Amery,0
파우스트,9,0.191,Macht Literatur Krieg _Österreichische Literatur im Nationalsozialismus / Uwe Baur et al.,0
파우스트,9,0.191,Nie mehr zurück in dieses Land / Herausgegeben von Uta Gerhardt und Thomas Karlauf,0
파우스트,9,0.191,Nietzsche / RÜDIGER SAFRANSKI,0
파우스트,9,0.191,RITT AUF DER WILDSAU MANIFEST FÜR DIE MALEREI / RACHEL LUMSDEN,0
파우스트,9,0.191,Sprengstoff / Richard Bachmann,0
파우스트,9,0.191,Unterm Rad / Hermann Hesse,0
파우스트,9,0.191,"Österreichische Literatur-, Kultur-, und Theaterzeitschriften im Umfeld von Expressionismus, Aktivismus und Zionismus / Armin A. Wallas",0
파우스트,9,0.191,나의 투쟁 상 / 아돌프 히트러,0
파우스트,9,0.191,나의 투쟁 하 / 아돌프 히트러,0
파우스트,9,0.191,"프랑스 혁명과 독일 문학 / 안삼환, 임정택",0
마의 산,0,0.000,1995년도 제1학기 강의시간표 / 한국외국어대학교,0
마의 산,0,0.000,2002년도 제1학기 강의시간표 / 한국외국어대학교,0
마의 산,0,0.000,2004년도 제2학기 강의시간표 / 한국외국어대학교,0
마의 산,0,0.000,Abdias / Adalbert Stifter,0
마의 산,0,0.000,Abdias / Adalbert Stifter,0
마의 산,0,0.000,Bellum Gallicum Wortkunde und Kommentar 1. Heft: Buch I - IV / Caesar,0
마의 산,0,0.000,Brigitta / Adalbert Stifter,0
마의 산,0,0.000,"Der Erlkönig / Herder, Gryphius",0
마의 산,0,0.000,Der Hagestolz / Adalbert Stifter,0
